name;price;pcs;description;category_name;company_name
AMD Ryzen 7 7700X;135000;15;High-end AM5 processor;Processor;AMD
AMD Ryzen 9 7950X;210000;8;Flagship 16-core processor;Processor;AMD
Intel Core i9-13900K;235000;5;Powerhouse for gaming and work;Processor;MSI
Kingston Fury Beast 16GB DDR5;28000;40;Fast DDR5 memory module;Memory Module;Kingston
Corsair Vengeance 32GB DDR4;35000;25;Reliable performance RAM;Memory Module;Corsair
ASUS ROG STRIX B650-A;95000;12;White themed AM5 motherboard;Motherboard;Asus
MSI MAG B760 TOMAHAWK;78000;18;Solid Intel motherboard;Motherboard;MSI
NVIDIA RTX 4070;265000;10;Excellent 1440p gaming card;Graphics Card;Gigabyte
AMD Radeon RX 7800 XT;195000;7;Competitive RDNA3 graphics;Graphics Card;AMD
Samsung 980 Pro 1TB;32000;50;Gen4 NVMe SSD;Storage;Western Digital
Seagate BarraCuda 2TB;22000;30;Massive HDD storage;Storage;Seagate
EVGA SuperNOVA 750 G6;45000;15;Gold rated 750W PSU;Power Supply;EVGA
Cooler Master MasterLiquid;38000;20;240mm AIO liquid cooler;Cooling;Cooler Master
NZXT H5 Flow;35000;22;High airflow mid-tower case;Case;NZXT
Logitech MX Master 3S;39000;15;Premium wireless office mouse;Mouse;Logitech
Razer DeathAdder V3;28000;20;Lightweight gaming mouse;Mouse;Razer
SteelSeries Arctis Nova 7;65000;12;Wireless multi-platform headset;Headset;SteelSeries
BenQ MOBIUZ EX2710S;85000;8;165Hz IPS gaming monitor;Monitor;BenQ
